id;is_closed;sex;country_id;country_title;bdate;city_id;city_title;universities_chair;universities_chair_name;universities_city;universities_country;universities_education_form;universities_education_status;universities_faculty;universities_faculty_name;universities_id;universities_name;schools_city;schools_country;schools_id;schools_name
8104589;False;2;1;Россия;21.5;185;Севастополь;;;;;;;;;;;;;;
8111081;False;1;1;Россия;15.3.1992;185;Севастополь;95607;Русского языка и литературы;185;1;Очное отделение;Выпускница (специалист);13661;Историко-филологический факультет;39581;ЧФ МГУ им. Ломоносова;185, 185;2, 2;30662, 33336;Учебно-воспитательный комплекс № 1, Школа развития
8137202;False;1;;;15.7;;;;;;;;;;;;;;;;
8166268;False;2;1;Россия;;98;Новороссийск;;;;;;;;;;;;;;
8175114;;2;;;;;;;;;;;;;;;;;;;
8186356;False;1;2;Украина;7.12;3521;Макеевка;274658;Железобетонных конструкций;3521;2;Очное отделение;;56218;Строительный институт;31718;ДонНАСА (МИСИ);3521, 3521;2, 2;41660, 225599;Школа №22, Школа №59
8187547;False;2;1;Россия;27.8;185;Севастополь;;;;;;;;;;;;;;
8197075;False;2;1;Россия;1.11.1902;185;Севастополь;;;;;;;;;;;;;;
8215414;False;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
8217861;False;2;;;18.1;;;;;;;;;;;;;;;;
8227481;False;2;2;Украина;27.4.1983;1483;Феодосия;;;;;;;;;;;;;;
8271398;True;1;2;Украина;6.9.1982;185;Севастополь;;;;;;;;;;;;;;
8291532;False;1;1;Россия;10.10.1979;2;Санкт-Петербург;;;;;;;;;;;;;;
8317600;False;1;1;Россия;22.2;185;Севастополь;;;;;;;;;;;;;;
8330129;False;1;1;Россия;18.8;102;Норильск;1805237;Менеджмент рекламного дела;102;1;Очное отделение;Студентка (бакалавр);291;Факультет социально-культурных технологий (бывш. Менеджмента и экономики);63;СПбГУКИ;102;1;6219;Школа № 21
8333987;False;1;1;Россия;8.6;185;Севастополь;;;;;;;;;;;;;;
8336602;True;1;1;Россия;16.1;1;Москва;;;;;;;;;;;;;;
8340166;False;1;1;Россия;15.8;185;Севастополь;;;;;;;;;;;;;;
8354724;False;1;1;Россия;5.8.1968;2510;Алушта;;;;;;;;;;;;;;
8382997;True;2;1;Россия;;;;;;;;;;;;;;;;;
8406927;False;1;1;Россия;;185;Севастополь;59867;Кафедра управления;185;1;;;67369;Факультет экономики и управления;39581;Филиал МГУ в г. Севастополе (бывш. ЧФ МГУ им. Ломоносова);;;;
8410750;False;2;67;Гондурас;;;;;;;;;;;;;;;;;
8412773;False;1;1;Россия;14.4.1994;;;;;;;;;;;;;;;;
8423668;;2;;;;;;;;;;;;;;;;;;;
8424111;False;2;1;Россия;;799;Евпатория;81777; Кафедра приборных систем и автоматизации технологических процессов;799;1;Очно-заочное отделение;Выпускник (магистр);88114;Политехнический институт;1032;СевГУ;799, 799;1, 1;19514, 28849;Школа №13, Школа №14
8471812;False;2;2;Украина;10.3.1990;;;38431;Электрических сетей и систем электропотребления;0;2;Очное отделение;Студент (специалист);62349;Институт электротехники и энергосбережения;5553;СНУЯЭиП (бывш. СНИЯЭиП);1513057;2;277276;Среднеобразовательная школа
8473944;False;1;1;Россия;7.12.1993;185;Севастополь;;;;;;;;;;;;;;
8491951;True;1;;;;;;;;;;;;;;;;;;;
8504887;True;1;1;Россия;;;;;;;;;;;;;;;;;
8553156;False;1;1;Россия;4.2.1978;1148884;Верещагино;;;;;;;;;;;;;;
8562732;False;1;2;Украина;20.3.1981;185;Севастополь;;;;;;;;;;;2510;2;167393;Школа №2
8580383;True;2;;;;;;;;;;;;;;;;;;;
8586494;False;2;1;Россия;25.6.1988;185;Севастополь;;;;;;;;;;;185;2;107596;Школа-интернат № 5
8587953;False;1;1;Россия;7.11.1966;4944;Гурзуф;;;4944;1;Очное отделение;Аспирантка;348238;психология;191167;мосу;1233;3;103728;Педагогический колледж
8595872;True;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
8602598;True;1;1;Россия;24.5;185;Севастополь;;;;;;;;;;;;;;
8616342;False;2;1;Россия;;133;Сочи;;;;;;;;;;;;;;
8618772;True;1;1;Россия;25.5;185;Севастополь;;;;;;;;;;;;;;
8624029;;2;;;;;;;;;;;;;;;;;;;
